sex,Predicted_age,Weekday,TimeOfDay,mean
F,45,Monday,Eve,63.333333333333336
F,45,Monday,Morning,47.0
F,45,Monday,Night,40.2
F,45,Monday,Noon,59.6
F,45,Saturday,Eve,64.3
F,45,Saturday,Morning,65.0
F,45,Saturday,Night,49.25
F,45,Saturday,Noon,62.833333333333336
F,45,Sunday,Eve,45.0
F,45,Sunday,Morning,65.0
F,45,Sunday,Night,65.0
F,45,Sunday,Noon,65.0
F,45,Thursday,Eve,52.666666666666664
F,45,Thursday,Morning,61.333333333333336
F,45,Thursday,Night,65.4375
F,45,Thursday,Noon,69.0
F,45,Tuesday,Eve,66.3
F,45,Tuesday,Morning,53.666666666666664
F,45,Tuesday,Night,62.75
F,45,Tuesday,Noon,58.666666666666664
F,45,Wednesday,Eve,62.57142857142857
F,45,Wednesday,Morning,55.5
F,45,Wednesday,Night,56.111111111111114
F,45,Wednesday,Noon,60.25
F,46,Friday,Eve,59.75
F,46,Friday,Morning,64.5
F,46,Friday,Night,62.05555555555556
F,46,Friday,Noon,58.111111111111114
F,46,Monday,Eve,67.0
F,46,Monday,Morning,40.25
F,46,Monday,Night,57.611111111111114
F,46,Monday,Noon,38.3
F,46,Saturday,Eve,68.33333333333333
F,46,Saturday,Morning,57.25
F,46,Saturday,Night,62.5
F,46,Saturday,Noon,54.125
F,46,Sunday,Eve,74.0
F,46,Sunday,Morning,70.0
F,46,Sunday,Night,61.642857142857146
F,46,Sunday,Noon,61.0
F,46,Thursday,Eve,64.5
F,46,Thursday,Morning,43.5
F,46,Thursday,Night,61.588235294117645
F,46,Thursday,Noon,59.0
F,46,Tuesday,Eve,65.0
F,46,Tuesday,Morning,52.8
F,46,Tuesday,Night,55.214285714285715
F,46,Tuesday,Noon,56.25
F,46,Wednesday,Eve,64.85714285714286
F,46,Wednesday,Morning,46.666666666666664
F,46,Wednesday,Night,60.55555555555556
F,46,Wednesday,Noon,46.666666666666664
F,47,Friday,Eve,56.81818181818182
F,47,Friday,Morning,55.8
F,47,Friday,Night,58.0
F,47,Friday,Noon,68.33333333333333
F,47,Monday,Eve,56.142857142857146
F,47,Monday,Morning,65.0
F,47,Monday,Night,55.714285714285715
F,47,Monday,Noon,55.4
F,47,Saturday,Eve,62.44444444444444
F,47,Saturday,Morning,48.333333333333336
F,47,Saturday,Night,57.75
F,47,Saturday,Noon,54.857142857142854
F,47,Sunday,Eve,59.8
F,47,Sunday,Morning,65.0
F,47,Sunday,Night,56.5
F,47,Sunday,Noon,72.8
F,47,Thursday,Eve,66.8
F,47,Thursday,Morning,10.0
F,47,Thursday,Night,62.65384615384615
F,47,Thursday,Noon,39.77777777777778
F,47,Tuesday,Eve,63.75
F,47,Tuesday,Morning,62.0
F,47,Tuesday,Night,44.75
F,47,Tuesday,Noon,46.8
F,47,Wednesday,Eve,57.142857142857146
F,47,Wednesday,Morning,71.0
F,47,Wednesday,Night,59.11764705882353
F,47,Wednesday,Noon,63.0
F,48,Friday,Eve,52.81818181818182
F,48,Friday,Morning,65.0
F,48,Friday,Night,64.0
F,48,Friday,Noon,53.0
F,48,Monday,Eve,57.0
F,48,Monday,Morning,56.8
F,48,Monday,Night,49.25
F,48,Monday,Noon,52.666666666666664
F,48,Saturday,Eve,67.25
F,48,Saturday,Morning,54.666666666666664
F,48,Saturday,Night,55.5
F,48,Saturday,Noon,48.42857142857143
F,48,Sunday,Eve,51.25
F,48,Sunday,Morning,65.0
F,48,Sunday,Night,63.166666666666664
F,48,Sunday,Noon,65.0
F,48,Thursday,Eve,61.714285714285715
F,48,Thursday,Morning,58.5
F,48,Thursday,Night,53.96153846153846
F,48,Thursday,Noon,47.857142857142854
F,48,Tuesday,Eve,65.0
F,48,Tuesday,Morning,37.5
F,48,Tuesday,Night,57.75
F,48,Tuesday,Noon,67.83333333333333
F,48,Wednesday,Eve,56.42857142857143
F,48,Wednesday,Morning,30.0
